id,uir_adr_ADRESA_KOD,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,lat,lon,id_cons,addr_conscription,wd_cons
296469405,21725101,11000,854,21,Bílkova,854/21,50.0913102,14.4219369,428812,Staré Město,Q748211
296469708,21726850,11000,1044,14,Revoluční,23,50.0919761,14.4270001,428812,Staré Město,Q748211
296471706,21716871,11000,211,9,Liliová,211/9,50.0852469,14.4162936,428812,Staré Město,Q748211
296471753,21724954,11000,812,14,Anežská,812/14,50.0919959,14.4238066,428812,Staré Město,Q748211
296471930,21717630,11000,269,13,Betlémská,269/13,50.0839212,14.416403,428812,Staré Město,Q748211
296472015,21725179,11000,859,11,Kozí,859/11,50.0907683,14.422237,428812,Staré Město,Q748211
296475947,21720819,11000,510,5,Havelská,510/5,50.0846697,14.4205268,428812,Staré Město,Q748211
296475994,21724652,11000,790,11,Haštalská,790/11,50.0910201,14.4238893,428812,Staré Město,Q748211
296476154,21722994,11000,656,8,náměstí Republiky,656/8,50.0890903,14.4274246,428812,Staré Město,Q748211
296476320,21721114,11000,527,1,Skořepka,527/1,50.0839455,14.4188148,428812,Staré Město,Q748211
296476417,21715882,11000,123,10,Elišky Krásnohorské,123/10,50.0910855,14.4195021,428812,Staré Město,Q748211
296476889,21726701,11000,1030,9,Benediktská,1030/9,50.0900187,14.4271364,428812,Staré Město,Q748211
296477656,21715734,11000,112,8,U staré školy,112/8,50.0907238,14.4208491,428812,Staré Město,Q748211
296477976,21723281,11000,688,6,Benediktská,688/6,50.0898035,14.426858,428812,Staré Město,Q748211
296478148,21726159,11000,969,40,Celetná,969/40,50.087155,14.4271843,428812,Staré Město,Q748211
296478279,21718768,11000,351,6,Betlémské náměstí,351/6,50.0842137,14.4180522,428812,Staré Město,Q748211
296478406,21723974,11000,739,19,Dlouhá,739/19,50.0900862,14.423902,428812,Staré Město,Q748211
296478623,21723133,11000,670,14,Jakubská,670/14,50.0883892,14.4265678,428812,Staré Město,Q748211
296478857,21721793,11000,569,19,Ovocný trh,569/19,50.0869368,14.4254679,428812,Staré Město,Q748211
296478931,21726001,11000,959,27,Na příkopě,959/27,50.0862356,14.4264357,428812,Staré Město,Q748211
296479250,21715581,11000,94,8,Veleslavínova,94/8,50.08777,14.416191,428812,Staré Město,Q748211
296479373,21722986,11000,656,15,Králodvorská,656/15,50.0888973,14.427489,428812,Staré Město,Q748211
296479894,21717419,11000,250,4,Liliová,250/4,50.0845143,14.4165843,428812,Staré Město,Q748211
296480827,21720282,11000,470,8,Melantrichova,470/8,50.0855824,14.4210037,428812,Staré Město,Q748211
296481420,21717401,11000,249,8,Zlatá,249/8,50.084874,14.4167966,428812,Staré Město,Q748211
296481835,21724563,11000,783,1,Řásnovka,783/1,50.091625,14.4247757,428812,Staré Město,Q748211
296481909,21719519,11000,403,16,Rytířská,403/16,50.0850517,14.4226832,428812,Staré Město,Q748211
296482482,21717109,11000,229,19,Husova,229/19,50.0858842,14.4179889,428812,Staré Město,Q748211
296482735,21722609,11000,632,10,Týnská,632/10,50.0886503,14.4237754,428812,Staré Město,Q748211
296482811,21724261,11000,758,23,Haštalská,758/23,50.0914382,14.4262546,428812,Staré Město,Q748211
296483316,21715441,11000,83,4,Alšovo nábřeží,83/4,50.0879463,14.4139809,428812,Staré Město,Q748211
296483790,21721491,11000,549,19,Staroměstské náměstí,549/19,50.0870678,14.4215864,428812,Staré Město,Q748211
296484084,21724415,11000,767,25,Revoluční,767/25,50.0922706,14.4271488,428812,Staré Město,Q748211
296484115,21715297,11000,77,1,Na Rejdišti,77/1,50.0904977,14.4157343,428812,Staré Město,Q748211
296484301,21719365,11000,394,6,Havířská,394/6,50.0851222,14.4244169,428812,Staré Město,Q748211
296484352,21715599,11000,95,6,Veleslavínova,95/6,50.0877617,14.4159953,428812,Staré Město,Q748211
296484755,21725845,11000,940,32,Haštalská,940/32,50.0919465,14.4263575,428812,Staré Město,Q748211
296484904,21720797,11000,509,7,Havelská,509/7,50.0847566,14.4206319,428812,Staré Město,Q748211
296485499,21725543,11000,914,10,Vězeňská,914/10,50.0904265,14.4223093,428812,Staré Město,Q748211
296485570,21719217,11000,385,3,Provaznická,385/3,50.0847629,14.4231721,428812,Staré Město,Q748211
296485663,21724121,11000,748,4,Kozí,748/4,50.0900981,14.4228028,428812,Staré Město,Q748211
296485872,21726710,11000,1031,25,Haštalská,1031/25,50.0916787,14.4262031,428812,Staré Město,Q748211
296485964,21720649,11000,496,29,Havelská,496/29,50.0858769,14.4222807,428812,Staré Město,Q748211
