id,geom,addr_postcode,addr_conscriptionnumber,addr_streetnumber,addr_street,addr_housenumber,id_cons,addr_conscription,wd_cons
node_296528305,POINT(14.4041115 50.0890410),11800,176,6,Thunovská,176/6,relation_433401,Malá Strana,Q753289
node_296556509,POINT(14.3974858 50.0884633),11800,235,43,Nerudova,235/43,relation_433401,Malá Strana,Q753289
node_296511468,POINT(14.4048026 50.0876592),11800,38,28,Mostecká,38/28,relation_433401,Malá Strana,Q753289
node_296562404,POINT(14.4049192 50.0825052),11800,432,30,Újezd,432/30,relation_433401,Malá Strana,Q753289
node_296538812,POINT(14.4064256 50.0905532),11800,154,10,Valdštejnská,154/10,relation_433401,Malá Strana,Q753289
node_296562579,POINT(14.4006614 50.0875641),11800,303,2,Břetislavova,303/2,relation_433401,Malá Strana,Q753289
node_296511439,POINT(14.4097486 50.0881547),11800,104,1,Cihelná,104/1,relation_433401,Malá Strana,Q753289
node_296562420,POINT(14.4039048 50.0855283),11800,385,9,Karmelitská,385/9,relation_433401,Malá Strana,Q753289
node_296538363,POINT(14.3978244 50.0880847),11800,318,1,Jánská,318/1,relation_433401,Malá Strana,Q753289
node_296530046,POINT(14.3973741 50.0881803),11800,234,10,Jánská,234/10,relation_433401,Malá Strana,Q753289
node_296538175,POINT(14.4080084 50.0828336),11800,134,1,U Sovových mlýnů,134/1,relation_433401,Malá Strana,Q753289
node_296559995,POINT(14.4075259 50.0876556),11800,66,12,Míšeňská,66/12,relation_433401,Malá Strana,Q753289
node_296517021,POINT(14.4057584 50.0872980),11800,279,11,Mostecká,279/11,relation_433401,Malá Strana,Q753289
node_296548957,POINT(14.4057624 50.0896321),11800,18,5,Valdštejnské náměstí,18/5,relation_433401,Malá Strana,Q753289
node_296562587,POINT(14.4059897 50.0867362),11800,287,4,Lázeňská,287/4,relation_433401,Malá Strana,Q753289
node_296543869,POINT(14.3984570 50.0874502),11800,330,24,Vlašská,330/24,relation_433401,Malá Strana,Q753289
node_296522790,POINT(14.4038437 50.0889083),11800,6,5,Thunovská,6/5,relation_433401,Malá Strana,Q753289
node_296522505,POINT(14.4100337 50.0886584),11800,110,5,Cihelná,110/5,relation_433401,Malá Strana,Q753289
node_296538928,POINT(14.4078368 50.0815931),11800,558,1,Malostranské nábřeží,558/1,relation_433401,Malá Strana,Q753289
node_296543103,POINT(14.4016667 50.0890067),11800,199,13,Thunovská,199/13,relation_433401,Malá Strana,Q753289
node_296549458,POINT(14.4060247 50.0826123),11800,438,13,Všehrdova,438/13,relation_433401,Malá Strana,Q753289
node_296531292,POINT(14.3996450 50.0867771),11800,351,11,Vlašská,351/11,relation_433401,Malá Strana,Q753289
node_296566736,POINT(14.4026181 50.0873202),11800,261,14,Tržiště,261/14,relation_433401,Malá Strana,Q753289
